id,created_datetime,customer_id,device_id,driver_id,type_id,use_case_id,working_hour_id,end_date,start_date,status_id,vehicle_id,end_date_time,start_date_time,id,name,start_date,end_date,created_datetime,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time,sunday_start_time,sunday_end_time,is_valid,customer_id,module_id,use_case_id,status_id,selectShift
86,2022-04-24 07:59:10.973717+00,9,,554,38,1,,2022-02-28 07:05:37+00,2022-02-02 07:05:33+00,12,,2022-02-28 07:05:37+00,2022-02-02 07:05:33+00,,,,,,,,,,,,,,,,,,,,,,,,,
112,2022-04-24 08:03:31.140304+00,9,,167,38,1,,2022-03-31 07:28:00+00,2022-03-01 07:27:59+00,12,,2022-03-31 07:28:00+00,2022-03-01 07:27:59+00,,,,,,,,,,,,,,,,,,,,,,,,,
87,2022-04-24 08:03:37.742767+00,9,,3,38,1,,2022-04-22 07:05:37+00,2022-02-02 07:05:33+00,12,,2022-04-22 07:05:37+00,2022-02-02 07:05:33+00,,,,,,,,,,,,,,,,,,,,,,,,,
107,2022-03-14 06:58:43.638327+00,146,,599,38,1,,2022-03-28 06:55:32+00,2022-03-22 06:55:30+00,12,596,2022-03-28 06:55:32+00,2022-03-22 06:55:30+00,,,,,,,,,,,,,,,,,,,,,,,,,
75,2022-03-14 07:04:13.301546+00,146,,310,38,1,,2022-01-24 11:53:59+00,2022-01-24 11:53:55+00,12,446,2022-01-24 11:53:59+00,2022-01-24 11:53:55+00,,,,,,,,,,,,,,,,,,,,,,,,,
108,2022-03-14 09:51:06.759944+00,146,,600,38,1,,2022-03-15 09:36:30+00,2022-03-15 09:36:27+00,12,596,2022-03-15 09:36:30+00,2022-03-15 09:36:27+00,,,,,,,,,,,,,,,,,,,,,,,,,
109,2022-03-18 08:06:14.812485+00,146,,601,38,1,,2022-03-21 10:04:12+00,2022-03-14 10:04:10+00,12,596,2022-03-21 10:04:12+00,2022-03-14 10:04:10+00,,,,,,,,,,,,,,,,,,,,,,,,,
134,2022-04-26 05:26:03.935682+00,146,,637,38,1,,2022-04-27 05:13:30+00,2022-04-25 05:13:28+00,12,596,2022-04-27 05:13:30+00,2022-04-25 05:13:28+00,,,,,,,,,,,,,,,,,,,,,,,,,
113,2022-03-28 05:36:51.662704+00,146,,572,38,1,,2022-03-28 05:36:23+00,2022-03-28 05:36:21+00,12,614,2022-03-28 05:36:23+00,2022-03-28 05:36:21+00,,,,,,,,,,,,,,,,,,,,,,,,,
115,2022-03-29 08:19:04.949935+00,146,,572,38,1,,2022-03-31 08:17:48+00,2022-03-23 08:17:44+00,1,614,2022-03-31 08:17:48+00,2022-03-23 08:17:44+00,,,,,,,,,,,,,,,,,,,,,,,,,
